,HK16,HK19,HK24,HK25,HK26,WT16,WT19,WT24,WT25,WT26
RP4-734G22.3,4,0,1,5,5,6,2,0,2,0
RP11-340B24.3,0,0,0,0,0,0,0,0,0,0
C1orf127,2,4,0,1,0,0,3,0,2,3
CFL1P6,0,0,0,0,0,0,0,0,1,0
AL713997.1,2,2,0,0,0,0,0,0,0,0
TARDBP,994,435,1775,1244,725,286,348,2847,1607,2248
MASP2,0,0,0,0,1,2,3,2,0,3
RP4-635E18.8,39,26,34,51,23,17,9,69,62,93
SRM,70,27,82,31,30,23,119,136,43,54
EXOSC10,525,303,701,553,339,273,312,1135,593,1144
RP4-635E18.7,4,7,8,3,11,0,3,12,10,9
RP4-635E18.6,0,0,2,0,0,0,0,7,0,4
MTOR,1071,520,1493,953,574,404,485,1448,737,864
MTOR-AS1,2,0,0,0,0,0,0,1,0,0
RNU6-537P,0,0,0,0,0,0,0,0,0,0
ANGPTL7,1,12,3,0,2,0,0,9,2,7
RNU6-291P,0,0,0,0,0,0,0,0,0,0
RPL39P6,0,0,0,0,0,0,0,0,0,0
UBIAD1,94,30,142,87,50,47,31,130,78,96
UBE2V2P3,1,0,0,1,0,0,0,2,1,0
RP11-149P14.1,0,0,0,0,0,0,0,0,0,0
PTCHD2,2,2,5,0,3,0,3,5,1,27
RP1-69M21.2,0,0,0,0,0,0,0,0,0,0
FBXO2,11,7,56,18,5,0,3,0,12,2
FBXO44,184,105,161,88,91,25,66,117,70,49
FBXO6,27,9,35,10,13,7,11,29,17,5
